lat,long,city
52.4796992,-1.9026911,Birmingham
39.2908816,-76.610759,Baltimore
32.753177,-97.3327459,Fort Worth
25.7741728,-80.19362,Miami
32.7174202,-117.1627728,San Diego
39.7392364,-104.984862,Denver
47.6038321,-122.330062,Seattle
37.7790262,-122.419906,San Francisco
35.9603948,-83.9210261,Knoxville
42.3554334,-71.060511,Boston
41.4996574,-81.6936772,Cleveland
33.7489924,-84.3902644,Atlanta
32.7762719,-96.7968559,Dallas
29.7589382,-95.3676974,Houston
44.8036159,-68.7702127,Bangor
40.7127281,-74.0060152,New York
35.7803977,-78.6390989,Raleigh
41.8755616,-87.6244212,Chicago
33.4484367,-112.074141,Phoenix
34.0536909,-118.242766,Los Angeles
